Artists,Name,Year,PeakPosition,WeeksOnChart,Popularity,Acousticness,Danceability,Energy,Key,Tempo,Valence,Cluster
Rihanna,Love On The Brain,2017,5,31,80,0.073310685,0.453608247,0.618044473,0.363636364,0.760384608,0.363800233,0
twenty one pilots,Ride,2016,5,39,81,0.00853548,0.609392898,0.698904139,0.545454545,0.162027643,0.563142827,4
Alessia Cara,Here,2016,5,34,65,0.080263667,0.301260023,0.81380998,0,0.442484535,0.313964585,1
Selena Gomez,Same Old Love,2016,5,28,64,0.022799318,0.640320733,0.571230982,1,0.304072432,0.42742021,2
Sam Smith,I'm Not The Only One,2015,5,37,82,0.540898706,0.64604811,0.456325141,0.454545455,0.205274487,0.485738522,3
Jason Derulo,Want To Want Me,2015,5,35,76,0.009261453,0.758304696,0.663794021,0,0.402784031,0.658572792,1
Taylor Swift,Wildest Dreams,2015,5,27,53,0.070754442,0.500572738,0.672305564,0.727272727,0.562967577,0.456049199,0
Selena Gomez,Good For You,2015,5,26,61,0.183024647,0.563573883,0.661666135,0.454545455,0.248237623,0.187784964,2
Bastille,Pompeii,2014,5,53,13,0.069118446,0.625429553,0.781891691,0.818181818,0.485404499,0.514367511,0
Passenger,Let Her Go,2014,5,43,76,0.373209147,0.419243986,0.520161719,0.636363636,0.161460229,0.220655286,2
Justin Bieber,Beauty And A Beat,2013,5,24,71,0.000701106,0.560137457,0.837216725,0,0.488994011,0.520729509,1
Bruno Mars,Treasure,2013,5,23,48,0.0297523,0.869415808,0.684008937,0.454545455,0.415168467,0.95334535,4
Nicki Minaj,Starships,2012,5,31,71,0.138034765,0.726231386,0.702095968,1,0.470522206,0.759304422,4
Rihanna,Where Have You Been,2012,5,26,56,0.002052847,0.694158076,0.841472497,0,0.488747309,0.433782208,1
Lil Wayne,How To Love,2011,5,24,61,0.00017861,0.608247423,0.643579104,1,0.649282406,0.251404941,0
Jason Derulo,In My Head,2010,5,34,65,0.027196056,0.743413517,0.736142143,0,0.37801516,0.865337716,1
Lady Gaga,Alejandro,2010,5,23,63,0.000363682,0.587628866,0.790403234,1,0.310067288,0.354257237,2
Justin Bieber,Baby,2010,5,20,76,0.04099977,0.704467354,0.854239813,0.454545455,0.100685215,0.530272506,4
Lady Gaga,LoveGame,2009,5,22,62,0.005815638,0.894616266,0.661666135,0.545454545,0.347269935,0.857915385,4
Sean Kingston,Fire Burning,2009,5,21,70,0.019629576,0.83161512,0.795722949,0.090909091,0.457971247,0.904570035,1
Kardinal Offishall,Dangerous,2008,5,27,66,0.004465941,0.957617411,0.780827748,0.727272727,0.42114482,0.818683066,4
Jonas Brothers,Burnin' Up,2008,5,16,70,0.030263548,0.634593356,0.955314395,0.181818182,0.402629842,0.818683066,1
Colbie Caillat,Bubbly,2007,5,47,69,0.616563508,0.668957617,0.444621768,0.818181818,0.488383424,0.227017283,2
Daughtry,Home,2007,5,37,56,0.002216447,0.378006873,0.847856155,0.545454545,0.587569925,0.321386915,0
Fergie,Clumsy,2007,5,25,59,0.195294615,0.70790378,0.539312693,0.181818182,0.834413682,0.442264871,1
J. Holiday,Bed,2007,5,23,67,0.173822171,0.654066438,0.585062241,0.454545455,0.488364921,0.729615099,4
Snow Patrol,Chasing Cars,2006,5,45,78,0.213699566,0.515463918,0.570167039,0.818181818,0.341053047,0.107199661,2
Natasha Bedingfield,Unwritten,2006,5,42,43,0.005457763,0.680412371,0.780827748,0.454545455,0.316345851,0.615099141,4
Lifehouse,You And Me,2005,5,62,75,0.116562321,0.396334479,0.394616449,0.636363636,0.56238166,0.338352243,0
The Pussycat Dolls,Stickwitu,2005,5,26,63,0.274026908,0.620847652,0.514842004,0.818181818,0.192828376,0.418937546,2
Maroon 5,This Love,2004,5,43,76,0.053678737,0.686139748,0.857431642,0.454545455,0.285760983,0.820803732,4
Maroon 5,She Will Be Loved,2004,5,41,73,0.060938468,0.679266896,0.698904139,0,0.32884747,0.539815502,1
Christina Milian,Dip It Low,2004,5,30,53,0.012472095,0.734249714,0.704223854,1,0.742560396,0.573746156,0
Evanescence,Bring Me To Life,2003,5,32,79,0.007369833,0.249713631,0.943611022,0.363636364,0.283053429,0.276852932,0
Justin Timberlake,Rock Your Body,2003,5,22,71,0.206542085,0.89117984,0.699968082,0.363636364,0.322279032,0.830346729,4
Vanessa Carlton,A Thousand Miles,2002,5,41,76,0.33026426,0.512027491,0.818065752,1,0.285020877,0.247163609,2
Jimmy Eat World,The Middle,2002,5,33,77,0.037932278,0.607101947,0.843600383,0.181818182,0.699609594,0.920475029,1
No Doubt,Hey Baby,2002,5,20,38,0.06012047,0.55441008,0.855303756,1,0.854945448,0.767787085,0
Train,Drops Of Jupiter,2001,5,53,78,0.157462214,0.406643757,0.621236302,0,0.188597438,0.49210052,1
Staind,It's Been Awhile,2001,5,46,67,0.001930148,0.453608247,0.76380466,0.545454545,0.41822757,0.050365815,0
matchbox twenty,If You're Gone,2001,5,42,65,0.43660398,0.493699885,0.641451218,0.818181818,0.377546426,0.345774573,2
Uncle Kracker,Follow Me,2001,5,33,73,0.448873948,0.806414662,0.562719438,0.454545455,0.34720826,0.934259357,4
Macy Gray,I Try,2000,5,27,72,0.320039287,0.549828179,0.623364188,0.181818182,0.170748555,0.743399427,1
Ruff Endz,No More,2000,5,26,52,0.033126541,0.83161512,0.622300245,0.909090909,0.297806203,0.94592302,4
Ricky Martin,Livin' La Vida Loca,1999,5,20,72,0.004200092,0.357388316,0.955314395,0.090909091,0.797618093,0.952285017,1
Camila Cabello,Never Be The Same,2018,6,37,64,0.148259738,0.607101947,0.694648367,0,0.50107007,0.242922278,1
"Lil Baby, Drake",Yes Indeed,2018,6,29,80,0.035785034,0.974799542,0.308437068,0.454545455,0.439376091,0.558901495,4
Sheck Wes,Mo Bamba,2018,6,28,80,0.198362107,0.705612829,0.605277157,0.363636364,0.600201062,0.239741279,3
J. Cole,ATM,2018,6,5,68,0.117584819,0.694158076,0.469092457,0.727272727,0.203115845,0.328809246,2
Sam Hunt,Body Like A Back Road,2017,6,41,78,0.457053927,0.709049255,0.427598681,0.454545455,0.30973424,0.663874457,3
Shawn Mendes,There's Nothing Holdin' Me Back,2017,6,34,81,0.388546607,0.862542955,0.805298436,1,0.451957888,0.990457003,4
Big Sean,Bounce Back,2017,6,28,75,0.108382343,0.764032073,0.552080009,0.090909091,0.20219688,0.252465274,1
Kodak Black,Tunnel Vision,2017,6,20,74,0.058893473,0.439862543,0.460580913,1,0.759440973,0.20793129,0
Shawn Mendes,Treat You Better,2016,6,39,82,0.108382343,0.379152348,0.811682094,0.909090909,0.209554765,0.75506309,4
Drake,Summer Sixteen,2016,6,14,58,0.003617268,0.550973654,0.429726567,0.090909091,0.601681273,0.020358393,3
Taylor Swift,Style,2015,6,32,64,0.002615221,0.555555556,0.776571976,0.181818182,0.285575956,0.446506203,1
Rachel Platten,Fight Song,2015,6,31,79,0.05613273,0.516609393,0.699968082,0.636363636,0.78454906,0.312904252,0
Lorde,Team,2014,6,38,74,0.170754679,0.66093929,0.555271837,0.545454545,0.316043642,0.404092885,2
Jeremih,Don't Tell 'Em,2014,6,31,72,0.400816575,0.851088202,0.501010746,0.181818182,0.304269793,0.372282897,3
Maroon 5,Maps,2014,6,22,50,0.020958823,0.720504009,0.698904139,0.090909091,0.439832489,0.895027038,1
Selena Gomez,The Heart Wants What It Wants,2014,6,20,68,0.054189985,0.576174112,0.779763805,0.636363636,0.211842925,0.621461139,4
Imagine Dragons,Demons,2013,6,61,73,0.194272117,0.449026346,0.69571231,0.272727273,0.254226312,0.416816881,1
One Direction,Story Of My Life,2013,6,32,81,0.230059523,0.557846506,0.64570699,0.272727273,0.446234404,0.266249602,3
Drake,Started From The Bottom,2013,6,22,66,0.03353554,0.780068729,0.495691031,0.727272727,0.23189979,0.56420316,2
Neon Trees,Everybody Talks,2012,6,39,46,0.003075345,0.410080183,0.923396106,0.727272727,0.655258759,0.731735765,0
Justin Bieber,As Long As You Love Me,2012,6,29,69,0.08292216,0.524627721,0.869135014,0,0.561080308,0.612978475,1
Flo Rida,I Cry,2012,6,21,64,0.006296211,0.664375716,0.814873923,0.363636364,0.476856278,0.772028417,4
Chris Brown,Look At Me Now,2011,6,27,73,0.034660287,0.749140893,0.660602192,1,0.600947335,0.533453504,2
Wiz Khalifa,No Sleep,2011,6,15,66,0.111449835,0.618556701,0.696776253,0.818181818,0.686633074,0.778390415,4
Mike Posner,Cooler Than Me,2010,6,29,45,0.153372225,0.832760596,0.476540057,0.636363636,0.495229402,0.800657406,4
Lil Wayne,Right Above It,2010,6,24,68,0.044476261,0.301260023,0.835088839,0.272727273,0.168583746,0.453928534,1
Lady Gaga,Paparazzi,2009,6,27,67,0.115539824,0.743413517,0.676561336,0.454545455,0.40821764,0.383946559,1
Linkin Park,New Divide,2009,6,20,69,0.000237915,0.435280641,0.799978721,0.454545455,0.427121174,0.365920899,0
Jason Mraz,I'm Yours,2008,6,76,42,0.608383529,0.656357388,0.426534738,1,0.630539229,0.724313434,2
Lil Wayne,A Milli,2008,6,23,72,0.039568274,0.641466208,0.679753165,0.545454545,0.633715516,0.783692079,4
Huey,"Pop, Lock & Drop It",2007,6,23,51,0.000770636,0.723940435,0.544632408,0,0.588519727,0.485738522,1
Rich Boy,Throw Some D's,2007,6,21,56,0.037625529,0.668957617,0.855303756,1,0.691856987,0.422118545,0
Rascal Flatts,What Hurts The Most,2006,6,51,70,0.008995604,0.485681558,0.657410363,0.454545455,0.538328225,0.312904252,0
Red Hot Chili Peppers,Dani California,2006,6,26,76,0.019731826,0.50744559,0.911692733,0,0.292748814,0.73703743,1
Christina Aguilera,Ain't No Other Man,2006,6,20,61,0.003842218,0.857961054,0.729758485,0.636363636,0.488420429,0.504824515,4
Rihanna,Unfaithful,2006,6,20,70,0.857872873,0.544100802,0.356314502,0,0.588081831,0.333050578,3
Rob Thomas,Lonely No More,2005,6,34,39,0.032410793,0.583046964,0.896797532,0.818181818,0.228976372,0.866398049,4
Sean Paul,We Be Burnin',2005,6,28,57,0.148259738,0.958762887,0.794659006,0.090909091,0.421132485,0.874880713,1
Green Day,Wake Me Up When September Ends,2005,6,27,76,0.023515066,0.495990836,0.806362379,0.636363636,0.346998563,0.11780299,0
50 Cent,Outta Control,2005,6,19,52,0.3149268,0.658648339,0.720182998,0.818181818,0.291836017,0.475135192,2
Kelly Clarkson,Breakaway,2004,6,46,64,0.030468048,0.381443299,0.686136823,0.818181818,0.686077995,0.38076556,0
Jagged Edge,Walked Outta Heaven,2004,6,27,55,0.585888588,0.638029782,0.59570167,0.909090909,0.440430742,0.51754851,2
Twista,Overnight Celebrity,2004,6,20,65,0.186092139,0.819014891,0.782955634,0.909090909,0.527208136,0.786873078,4
D12,My Band,2004,6,18,69,0.508178792,0.845360825,0.843600383,0.090909091,0.439721474,0.857915385,1
Snoop Dogg,Beautiful,2003,6,20,61,0.251531967,0.909507446,0.679753165,1,0.322494896,0.98197434,4
Creed,One Last Breath,2002,6,34,45,0.009036504,0.305841924,0.708479625,0.181818182,0.501366112,0.143250981,1
Michelle Branch,All You Wanted,2002,6,28,60,0.004762465,0.442153494,0.70635174,0.727272727,0.292249243,0.65433146,4
Ja Rule,Livin' It Up,2001,6,25,62,0.078627671,0.871706758,0.756357059,0.545454545,0.353665682,0.647969462,4
Shakira,"Whenever, Wherever",2001,6,24,75,0.241306994,0.778923253,0.825513352,0.090909091,0.363533758,0.887604708,1
Backstreet Boys,Show Me The Meaning Of Being Lonely,2000,6,24,66,0.236194507,0.592210767,0.605277157,0.545454545,0.735665077,0.687201781,4
Erykah Badu,Bag Lady,2000,6,20,55,0.373209147,0.699885452,0.382913076,0.454545455,0.63194543,0.575866822,3
Backstreet Boys,I Want It That Way,1999,6,31,79,0.262779437,0.659793814,0.678689222,0.545454545,0.310357163,0.47407486,2
DaBaby,Suge,2019,7,13,82,0.062165464,0.873997709,0.644643047,0.181818182,0.164840045,0.857915385,1
5 Seconds Of Summer,Youngblood,2018,7,48,83,0.017277832,0.553264605,0.848920098,0.636363636,0.441325036,0.124164988,0
Lil Wayne,Uproar,2018,7,20,71,0.060836218,0.721649485,0.865943185,0.090909091,0.310579194,0.900328703,1
Drake,I'm Upset,2018,7,16,72,0.285274378,0.900343643,0.563783381,1,0.624667723,0.484678189,2
Lil Uzi Vert,XO TOUR Llif3,2017,7,34,60,0.002697021,0.709049255,0.738270029,1,0.656091378,0.388187891,0
"Zedd, Alessia Cara",Stay,2017,7,31,78,0.258689448,0.66093929,0.602085328,0.454545455,0.328865973,0.539815502,4
Rihanna,Needed Me,2016,7,45,78,0.112472332,0.639175258,0.274390893,0.454545455,0.38349811,0.276852932,3
J. Cole,Deja Vu,2016,7,20,70,0.359916682,0.623138603,0.388232791,0.818181818,0.773071254,0.154914643,2
Nick Jonas,Jealous,2015,7,32,66,0.013290093,0.672394044,0.686136823,1,0.273185353,0.365920899,2
Calvin Harris,Summer,2014,7,26,81,0.021572321,0.553264605,0.851047984,0.363636364,0.488660964,0.750821758,1
Maroon 5,Daylight,2013,7,25,58,0.002512971,0.623138603,0.662730078,0.181818182,0.439678301,0.313964585,1
Eminem,Rap God,2013,7,20,77,0.405929061,0.681557847,0.837216725,0.636363636,0.613189917,0.625702471,4
Alex Clare,Too Close,2012,7,44,59,0.011449598,0.5395189,0.697840196,1,0.476905618,0.266249602,2
Drake,Take Care,2012,7,34,72,0.027298306,0.591065292,0.48824343,0,0.451014253,0.280033931,1
Tyga,Rack City,2012,7,25,63,0.038136778,0.934707904,0.300989467,0.090909091,0.310030283,0.252465274,3
Hot Chelle Rae,Tonight Tonight,2011,7,30,74,0.078116423,0.656357388,0.773380147,0.363636364,0.31614849,0.826105397,4
Jason Aldean,Dirt Road Anthem,2011,7,27,73,0.354804195,0.649484536,0.728694542,0.181818182,0.482955982,0.6363058,1
Shinedown,Second Chance,2009,7,41,45,0.0010917,0.397479954,0.787211405,0,0.316352019,0.155974976,1
The Fray,You Found Me,2009,7,39,74,0.019118328,0.257731959,0.794659006,0.727272727,0.636959646,0.387127558,0
Mariah Carey,Obsessed,2009,7,21,66,0.047543753,0.720504009,0.43823811,0.909090909,0.232670733,0.354257237,2
Sean Kingston,Take You There,2008,7,25,61,0.018607079,0.731958763,0.920204277,0.454545455,0.409000919,0.635245467,4
Yael Naim,New Soul,2008,7,19,60,0.749488158,0.751431844,0.335035642,0,0.316290343,0.655391793,3
Christina Aguilera,Keeps Gettin' Better,2008,7,18,42,0.075560179,0.609392898,0.681881051,0.454545455,0.501316771,0.228077616,0
Rihanna,Hate That I Love You,2007,7,26,70,0.33026426,0.600229095,0.716991169,0.454545455,0.278458607,0.739158096,4
Linkin Park,What I've Done,2007,7,23,76,0.01441484,0.58419244,0.929779764,0.454545455,0.440369066,0.267309935,0
Kanye West,Good Life,2007,7,21,43,0.00279927,0.327605956,0.732950314,0.090909091,0.751799382,0.439083872,1
Rascal Flatts,Life Is A Highway,2006,7,20,73,0.003310519,0.53722795,0.953186509,0.454545455,0.334953343,0.657512459,4
Jibbs,Chain Hang Low,2006,7,20,58,0.026480308,0.777777778,0.56697521,0.363636364,0.668741019,0.787933411,1
Kelly Clarkson,Because Of You,2005,7,37,72,0.259711945,0.538373425,0.561655495,0.454545455,0.563226614,0.107199661,3
Will Smith,Switch,2005,7,28,57,0.007155109,0.875143184,0.88190233,0.090909091,0.331746218,0.511186513,1
Gwen Stefani,Rich Girl,2005,7,27,61,0.030059049,0.851088202,0.742525801,0.636363636,0.304060097,0.728554766,4
Madonna,Hung Up,2005,7,20,59,0.003719518,0.603665521,0.62761996,0.818181818,0.470423525,0.403032552,2
Nickelback,Someday,2004,7,50,69,0.000627486,0.391752577,0.85317587,1,0.705567445,0.596013148,0
Evanescence,My Immortal,2004,7,32,74,0.882412809,0.088201604,0.222257687,0.818181818,0.186839687,0.070088008,3
Kanye West,All Falls Down,2004,7,20,72,0.152349727,0.623138603,0.721246941,0.727272727,0.260961274,0.423178878,2
Baby Bash,Suga Suga,2003,7,33,72,0.703475779,0.628865979,0.736142143,0.454545455,0.207309777,0.530272506,3
Tyrese,How You Gonna Act Like That,2003,7,25,37,0.10940484,0.70790378,0.371209703,0.272727273,0.395956556,0.53557417,1
Ashanti,Rain On Me,2003,7,20,47,0.350714206,0.564719359,0.684008937,0.727272727,0.215759318,0.502703849,2
Sean Paul,Gimme The Light,2002,7,39,60,0.144169749,0.761741123,0.749973401,0.181818182,0.361233263,0.941681688,1
Kylie Minogue,Can't Get You Out Of My Head,2002,7,20,72,0.026889307,0.747995418,0.539312693,0.818181818,0.476683586,0.985155339,4
Alicia Keys,A Woman's Worth,2002,7,20,56,0.338444238,0.634593356,0.376529418,0.363636364,0.162521047,0.485738522,3
Brandy,What About Us?,2002,7,18,39,0.262779437,0.470790378,0.719119055,0.909090909,0.846273876,0.743399427,0
Aerosmith,Jaded,2001,7,20,60,0.005110114,0.46277205,0.887222045,0.818181818,0.427355541,0.633124801,4
Creed,Higher,2000,7,57,68,5.03E-05,0.396334479,0.823385467,0.181818182,0.660599856,0.419997879,1
P!nk,There You Go,2000,7,32,54,0.088136896,0.812142039,0.841472497,0.909090909,0.365044807,0.670236454,4
Sugar Ray,Someday,1999,7,32,58,0.01073385,0.723940435,0.665921907,0.090909091,0.38324524,0.957586682,1
Donell Jones,U Know What's Up,1999,7,24,43,0.073719684,0.817869416,0.458453027,0.909090909,0.334885499,0.883363376,4
Khalid,Better,2019,8,41,66,0.051429243,0.663230241,0.52760932,0,0.304121772,0.122044322,1
Bobby Helms,Jingle Bell Rock,2019,8,25,35,0.6574634,0.734249714,0.39142462,0.181818182,0.437815701,0.817622734,3
Blueface,Thotiana,2019,8,20,74,0.184047144,0.90836197,0.346739015,0.909090909,0.341108555,0.377584562,2
Ariana Grande,God Is A Woman,2018,8,22,80,0.023821815,0.560137457,0.640387275,0.090909091,0.594015012,0.247163609,1
Travis Scott,Stargazing,2018,8,8,84,0.009680677,0.428407789,0.779763805,0.727272727,0.624704729,0.022797158,0
Post Malone,Congratulations,2017,8,50,54,0.20858708,0.591065292,0.798914778,0.545454545,0.458119268,0.485738522,0
Alessia Cara,Scars To Your Beautiful,2017,8,43,73,0.029138801,0.526918671,0.726566656,0,0.298305775,0.441204538,1
Drake,Passionfruit,2017,8,20,80,0.26175694,0.797250859,0.432918396,1,0.390171396,0.348955572,2
Prince,When Doves Cry,2016,8,23,71,0.0104271,0.705612829,0.992552399,0.818181818,0.479539161,0.853674054,4
Ariana Grande,Dangerous Woman,2016,8,21,77,0.054087736,0.63115693,0.580806469,0.363636364,0.526283004,0.269430601,1
Kent Jones,Don't Mind,2016,8,20,66,0.024026315,0.402061856,0.760612831,0.727272727,0.678794121,0.694624112,0
Sam Smith,Lay Me Down,2015,8,20,76,0.939672659,0.406643757,0.142461964,0.363636364,0.472440314,0.30866292,3
Sia,Chandelier,2014,8,46,70,0.020140825,0.327605956,0.777635919,0.090909091,0.421681397,0.569504825,1
Justin Timberlake,Not A Bad Thing,2014,8,22,56,0.538853712,0.223367698,0.539312693,0,0.229327922,0.078570671,3
Aloe Blacc,The Man,2014,8,20,59,0.033842289,0.223367698,0.758484945,1,0.20436169,0.480436857,2
Capital Cities,Safe And Sound,2013,8,43,77,0.000177587,0.620847652,0.811682094,0,0.427028661,0.775209416,1
Zedd,Clarity,2013,8,33,74,0.040693021,0.453608247,0.771252261,0.727272727,0.488975509,0.149612978,0
"Owl City, Carly Rae Jepsen",Good Time,2012,8,24,74,0.024435314,0.512027491,0.868071071,0.272727273,0.476948791,0.686141448,1
Adele,Skyfall,2012,8,20,73,0.426379007,0.266895762,0.52760932,0,0.167529095,0.04665465,3
OneRepublic,Good Life,2011,8,35,44,0.080263667,0.59908362,0.678689222,0.545454545,0.285378595,0.691443113,4
Justin Bieber,Never Say Never,2011,8,19,69,0.018504829,0.717067583,0.798914778,0,0.298077575,0.633124801,1
La Roux,Bulletproof,2010,8,27,65,0.000448549,0.642611684,0.878710501,0.272727273,0.458236451,0.686141448,1
Miley Cyrus,Can't Be Tamed,2010,8,10,63,0.029343301,0.592210767,0.908500904,1,0.421009134,0.750821758,4
Drake,Forever,2009,8,24,40,0.239261999,0.407789233,0.930843707,0.454545455,0.354825181,0.521789842,0
Pitbull,Hotel Room Service,2009,8,23,70,0.007206234,0.845360825,0.609532929,0.090909091,0.476541733,0.799597073,1
Jonas Brothers,Tonight,2008,8,4,50,0.000541596,0.403207331,0.955314395,0.363636364,0.661043919,0.764606086,1
Carrie Underwood,Before He Cheats,2007,8,64,74,0.2770944,0.465063001,0.737206086,0.545454545,0.611740544,0.270490934,0
Jordin Sparks,Tattoo,2007,8,31,64,0.44069397,0.518900344,0.755293116,0.181818182,0.73570825,0.542996501,1
Fabolous,Make Me Better,2007,8,21,61,0.337421741,0.565864834,0.57761464,1,0.232966775,0.558901495,2
Nickelback,Far Away,2006,8,30,70,0.000709286,0.463917526,0.788275348,0.545454545,0.519289005,0.273671933,0
Danity Kane,Show Stopper,2006,8,20,55,0.013596842,0.735395189,0.374401532,0.454545455,0.16847273,0.456049199,2
Usher,Caught Up,2005,8,27,61,0.027605055,0.806414662,0.797850835,0.545454545,0.378490061,0.816562401,4
Coldplay,Speed Of Sound,2005,8,20,68,0.004987415,0.459335624,0.895733589,1,0.458550996,0.33729191,0
Lloyd Banks,On Fire,2004,8,20,58,0.09437413,0.73997709,0.818065752,0.727272727,0.284564479,0.417877213,2
Ginuwine,In Those Jeans,2003,8,20,61,0.519426263,0.662084765,0.515905947,0.090909091,0.487020396,0.30124059,3
"DJ Sammy, Yanou",Heaven,2002,8,27,64,0.001122375,0.524627721,0.954250452,0.727272727,0.55043512,0.60025448,0
Ashanti,Happy,2002,8,23,63,0.245396983,0.703321879,0.48824343,0.181818182,0.251450916,0.70098611,1
P!nk,Just Like A Pill,2002,8,20,66,8.81E-05,0.659793814,0.76380466,0.818181818,0.328939984,0.231258615,2
City High,What Would You Do?,2001,8,28,54,0.264824432,0.710194731,0.78508352,0.636363636,0.290855377,0.84519139,4
Ja Rule,Put It On Me,2001,8,27,44,0.0297523,0.526918671,0.845728269,0.545454545,0.845324074,0.721132436,0
Sonique,It Feels So Good,2000,8,24,61,0.011960846,0.596792669,0.660602192,0.454545455,0.532222352,0.554660163,0
Jennifer Lopez,Waiting For Tonight,1999,8,20,57,0.002288022,0.665521191,0.941483137,0.909090909,0.470559212,0.868518715,4
Brenda Lee,Rockin' Around The Christmas Tree,2019,9,27,53,0.627810978,0.545246277,0.442493882,0.727272727,0.113963945,0.915173364,4
Drake,Portland,2017,9,16,74,0.017584582,0.930126002,0.411639536,0.090909091,0.538796958,0.334110911,1
DNCE,Cake By The Ocean,2016,9,46,80,0.155417219,0.757159221,0.741461858,0.363636364,0.433479915,0.913052699,4
Andy Grammer,"Honey, I'm Good.",2015,9,31,72,0.033126541,0.731958763,0.764868603,0.818181818,0.452056569,0.593892482,4
"Pitbull, Ne",Time Of Our Lives,2015,9,27,77,0.09416963,0.695303551,0.793595063,0.090909091,0.464570523,0.729615099,1
Ed Sheeran,Don't,2014,9,36,72,0.011551847,0.793814433,0.587190127,0.090909091,0.285748648,0.86321705,1
"Michael Jackson, Justin Timberlake",Love Never Felt So Good,2014,9,20,68,0.134967273,0.758304696,0.705287797,0.636363636,0.424296437,0.717951437,4
Ariana Grande,The Way,2013,9,26,66,0.300611838,0.609392898,0.874454729,0.454545455,0.207266605,0.877001378,4
P!nk,Try,2013,9,24,73,0.001439349,0.641466208,0.609532929,0.181818182,0.340942031,0.547237833,1
Lil Wayne,Love Me,2013,9,22,60,0.012778844,0.636884307,0.614852644,1,0.469893116,0.488919521,2
Usher,Scream,2012,9,21,66,0.00119395,0.576174112,0.857431642,0.636363636,0.488926168,0.566323826,4
Lupe Fiasco,The Show Goes On,2011,9,33,71,0.019322827,0.547537228,0.886158102,0.636363636,0.581901948,0.652210794,4
Drake,Make Me Proud,2011,9,20,66,0.002737921,0.654066438,0.457389084,0.090909091,0.513109122,0.339412576,1
Jason Derulo,Ridin' Solo,2010,9,28,67,0.130877284,0.376861397,0.823385467,0.818181818,0.250525783,0.575866822,4
Lil Wayne,6 Foot 7 Foot,2010,9,21,69,0.000720533,0.288659794,0.739333972,0.181818182,0.187499615,0.603435479,1
Katy Perry,Waking Up In Vegas,2009,9,23,41,0.001224625,0.470790378,0.874454729,0.454545455,0.507410308,0.588590818,0
Rihanna,Russian Roulette,2009,9,14,64,0.047032504,0.420389462,0.457389084,0.545454545,0.193247769,0.243982611,2
Eminem,We Made You,2009,9,10,47,0.10940484,0.928980527,0.847856155,0.181818182,0.402648345,0.673417453,1
The Pussycat Dolls,When I Grow Up,2008,9,20,71,0.001684748,0.639175258,0.669113736,1,0.430069262,0.353196904,2
"Demi Lovato, Joe Jonas",This Is Me,2008,9,7,65,0.009926077,0.352806415,0.81380998,0.090909091,0.262287297,0.592832149,1
P!nk,Who Knew,2007,9,36,69,0.004721565,0.658648339,0.720182998,0.818181818,0.56301075,0.449687202,0
"Rihanna, Sean Paul",Break It Off,2007,9,20,49,0.016971083,0.898052692,0.725502713,0.909090909,0.525771098,0.80914007,4
Amy Winehouse,Rehab,2007,9,20,70,0.048361751,0.367697595,0.868071071,0,0.140601583,0.739158096,1
Fall Out Boy,"Dance, Dance",2006,9,31,44,0.004844265,0.592210767,0.968081711,1,0.405429909,0.493160853,0
Chingy,Pullin' Me Back,2006,9,20,61,0.084353656,0.770904926,0.483987658,0.636363636,0.192933224,0.585409819,2
Ludacris,Pimpin' All Over The World,2005,9,20,56,0.293454357,0.437571592,0.879774444,1,0.267782582,0.792174743,4
Ying Yang Twins,Salt Shaker,2004,9,26,62,0.052042741,0.883161512,0.681881051,1,0.328403407,0.304421588,2
OutKast,Roses,2004,9,21,71,0.049179749,0.730813288,0.693584424,0,0.371607078,0.502703849,1
Britney Spears,Toxic,2004,9,20,79,0.025457811,0.757159221,0.83189701,0.454545455,0.581735425,0.942742021,4
Uncle Kracker,Drift Away,2003,9,35,70,0.185069641,0.538373425,0.642515161,1,0.636725279,0.875941045,4
R. Kelly,Step In The Name Of Love,2003,9,27,41,0.270959416,0.726231386,0.558463666,0.545454545,0.273006494,0.532393171,2
Kelly Clarkson,Miss Independent,2003,9,20,58,0.088034646,0.620847652,0.603149271,1,0.78485127,0.615099141,0
Shakira,Underneath Your Clothes,2002,9,20,65,0.701430785,0.576174112,0.575486754,0.727272727,0.720307884,0.346834906,2
Incubus,Drive,2001,9,39,48,0.0675847,0.602520046,0.843600383,0.363636364,0.258074862,0.689322447,1
Nelly Furtado,I'm Like A Bird,2001,9,24,71,0.141102257,0.583046964,0.587190127,0.909090909,0.252517901,0.606616478,2
Jagged Edge,Promise,2001,9,21,57,0.139057262,0.730813288,0.544632408,0.454545455,0.488987844,0.647969462,4
Backstreet Boys,Shape Of My Heart,2000,9,20,73,0.257666951,0.529209622,0.776571976,0.818181818,0.292243075,0.512246846,2
Red Hot Chili Peppers,Scar Tissue,1999,9,29,76,0.079650168,0.552119129,0.703159911,0,0.248249958,0.542996501,1
Len,Steal My Sunshine,1999,9,25,58,0.465233905,0.342497136,0.954250452,0.363636364,0.881983977,0.549358499,0
Ava Max,Sweet But Psycho,2019,10,28,85,0.070652192,0.694158076,0.689328652,0.090909091,0.519825582,0.628883469,1
Migos,Walk It Talk It,2018,10,22,77,0.089568392,0.909507446,0.613788701,0.181818182,0.599460956,0.381825893,1
Andy Williams,It's The Most Wonderful Time Of The Year,2018,10,10,51,0.78323057,0.145475372,0.576550697,0.636363636,0.94587977,0.785812745,0
Liam Payne,Strip That Down,2017,10,28,71,0.224947037,0.871706758,0.469092457,0.545454545,0.353431315,0.537694836,2
